run,size,matrix_norm
4,1000,559.3466685058745
4,2000,723.8585694888369
4,3000,226.80057176318283
4,4000,354.1418311188429
4,5000,72.9929474171964
4,6000,150.3818197309298
4,7000,59.06504221671625
4,8000,29.614034590703138
4,9000,17.889682638568484
4,10000,10.207649548824559
4,11000,10.74835931129949
4,12000,28.409370590385116
4,13000,29.458189890073005
4,14000,9.616478741888768
4,15000,36.94164802920651
4,16000,10.00210115639245
4,17000,10.165127796630166
4,18000,11.106606605530954
4,19000,10.477825379673321
4,20000,9.730409977920907
4,21000,10.797732160367323
4,22000,10.323517919526862
4,23000,9.958013482679432
4,24000,10.109062096134815
4,25000,9.956182857597325
4,26000,10.532332959406371
4,27000,10.361965994911499
4,28000,8.731577364698815
4,29000,9.471573601654882
4,30000,10.919647848955575
1,1000,2568.0274282872138
1,2000,1447.301648983644
1,3000,189.04898801058428
1,4000,323.9234301025826
1,5000,34.30869646373233
1,6000,38.85304449617334
1,7000,10.035020115146216
1,8000,10.971767673706214
1,9000,32.23666127875666
1,10000,10.98586120632505
1,11000,10.7648943138061
1,12000,12.4512864443949
1,13000,15.399895043422912
1,14000,9.991973880892603
1,15000,9.827294858301496
1,16000,30.988542125831355
1,17000,10.652145531548628
1,18000,7.797544318439637
1,19000,10.586527297838241
1,20000,10.506472951598331
1,21000,10.20129027265322
1,22000,9.775947718718967
1,23000,10.973738329314887
1,24000,9.795183145826131
1,25000,9.785444792437033
1,26000,10.271251808223566
1,27000,10.661641112301414
1,28000,2.1349515389308924
1,29000,0.9573203103683402
1,30000,10.252956214302435
2,1000,2059.3544122440157
2,2000,117.76863026272365
2,3000,94.47248968686655
2,4000,98.14824464089818
2,5000,183.62196509959477
2,6000,44.77898980289274
2,7000,10.7590412024725
2,8000,70.49524963423855
2,9000,10.340562696081841
2,10000,11.249496560838724
2,11000,11.035284378008702
2,12000,10.533142921892761
2,13000,10.637416777753531
2,14000,10.276155625275116
2,15000,10.01309095192796
2,16000,10.895460591395116
2,17000,10.137839120267223
2,18000,10.321480228120565
2,19000,10.350455573788844
2,20000,9.690257871847155
2,21000,11.218827126283765
2,22000,10.472647336397447
2,23000,9.471648918163801
2,24000,10.174084738523627
2,25000,9.713550108273072
2,26000,9.994203638760863
2,27000,1.331416467897036
2,28000,9.839051266737595
2,29000,11.325885151117944
2,30000,10.097755362246694
3,1000,1734.236709155411
3,2000,791.2146463219993
3,3000,142.62377535576513
3,4000,344.54598112966966
3,5000,43.099687235115724
3,6000,149.38395765215589
3,7000,38.34594974217315
3,8000,11.338178759711626
3,9000,16.971295821081767
3,10000,36.87450512485401
3,11000,12.583576991514164
3,12000,10.687808436184458
3,13000,9.841116010936815
3,14000,10.581178829132329
3,15000,10.3811794832784
3,16000,10.790096830293754
3,17000,15.43693222986648
3,18000,10.020768200295448
3,19000,10.67052644646185
3,20000,10.553798335562739
3,21000,9.687859692405357
3,22000,10.32711549059981
3,23000,10.031272123087815
3,24000,1.3818367732214483
3,25000,9.957039654501571
3,26000,10.271250458088188
3,27000,9.209498977396988
3,28000,9.88251107087461
3,29000,10.639379344371566
3,30000,10.680007930397627
5,1000,1233.2045430341727
5,2000,948.0484421698961
5,3000,226.08751606258176
5,4000,104.19437811752633
5,5000,34.30773365198497
5,6000,38.79752289284569
5,7000,250.09526220434603
5,8000,12.422038870553614
5,9000,10.811031254543826
5,10000,14.082288239205221
5,11000,10.593474855601375
5,12000,10.303494212378435
5,13000,21.145344086462806
5,14000,10.619587992324753
5,15000,10.416667006316857
5,16000,10.43791527752483
5,17000,10.666134230592622
5,18000,9.572084433670337
5,19000,10.565238189668678
5,20000,10.055962812800841
5,21000,10.650077554706055
5,22000,10.371633243224975
5,23000,9.595155653083303
5,24000,10.33420281691926
5,25000,9.758492480858944
5,26000,11.189738018803725
5,27000,10.037451312160838
5,28000,10.636462166055257
5,29000,9.857601780227887
5,30000,1.3777442932725756
