run,size,norm
4,1000,9.743197108855117
4,2000,7.971149698333214
4,3000,8.479242072680822
4,4000,3.384038242216769
4,5000,15.759708838823052
4,6000,3.8290367227793976
4,7000,4.764651846835816
4,8000,4.131741727093913
4,9000,3.9840043819954696
4,10000,4.10464644611741
4,11000,3.9169184943513673
4,12000,21.86797834766582
4,13000,5.125905561877487
4,14000,3.902630563246122
4,15000,9.757709248869228
4,16000,9.951975918181846
4,17000,4.203009483351826
4,18000,3.716051065633696
4,19000,3.7577597898613115
4,20000,4.906727155086348
4,21000,4.502678509992833
4,22000,4.352025721205767
4,23000,4.272627153310509
4,24000,4.329912730372509
4,25000,5.232655204751868
4,26000,4.635221469512024
4,27000,4.865142421727877
4,28000,5.572553415847137
4,29000,5.849186252621046
4,30000,4.512612643729786
2,1000,15.736361358415593
2,2000,8.216421209989083
2,3000,29.4030164942239
2,4000,6.300005398987759
2,5000,30.921935785070616
2,6000,2.945212526150074
2,7000,13.537643434002806
2,8000,8.33041738594109
2,9000,3.56930979506321
2,10000,2.3139188509676867
2,11000,2.9675578126962683
2,12000,4.558527579047953
2,13000,5.117145666677846
2,14000,3.6754995887504895
2,15000,4.600864499226555
2,16000,7.195723670729142
2,17000,4.686040414868432
2,18000,3.970267158052256
2,19000,3.5632416641424323
2,20000,5.316990608904383
2,21000,4.86362344651688
2,22000,4.3054425664286855
2,23000,4.443096101817833
2,24000,5.63505088315499
2,25000,4.69103885668074
2,26000,5.240701939155247
2,27000,5.552075208116504
2,28000,5.493354766348699
2,29000,4.622538505932744
2,30000,4.717461201387248
3,1000,11.154464179500017
3,2000,16.06243351136995
3,3000,10.826372342608334
3,4000,16.518985704470598
3,5000,3.3951841388657136
3,6000,3.804396456918693
3,7000,2.5067217065534053
3,8000,3.7869896559369667
3,9000,8.137118919939088
3,10000,3.0993850896905624
3,11000,3.6037816522376995
3,12000,3.9589160402094685
3,13000,2.1789107273024197
3,14000,20.574405824970253
3,15000,4.323040504857066
3,16000,5.021903188045126
3,17000,5.5774617263983295
3,18000,4.047458743135825
3,19000,3.8668468497783026
3,20000,4.549101706915402
3,21000,5.099190597315713
3,22000,4.4201307102116605
3,23000,3.7434943560156957
3,24000,4.6088433823605905
3,25000,3.9482995148638227
3,26000,3.2948992921151
3,27000,5.114240299527626
3,28000,4.868078651456294
3,29000,5.332893911619904
3,30000,4.847054149884414
5,1000,11.442638618175824
5,2000,25.771443605954502
5,3000,7.037736096946405
5,4000,12.999225622845724
5,5000,3.6980486457577837
5,6000,2.558842315129732
5,7000,2.7634933048821337
5,8000,4.087000355716558
5,9000,2.7421840533453166
5,10000,2.757513599160464
5,11000,3.6980252029302183
5,12000,4.11270600276996
5,13000,3.2971174433905577
5,14000,2.9805967074652107
5,15000,3.522742082918285
5,16000,3.300846387015677
5,17000,4.517962650182322
5,18000,4.460409909565176
5,19000,4.660375717001647
5,20000,4.736196995419874
5,21000,4.568182385920519
5,22000,5.413682575976976
5,23000,4.526907618941055
5,24000,4.513644214885144
5,25000,4.812366871256519
5,26000,5.694424609610528
5,27000,4.916035982035892
5,28000,4.835324531920907
5,29000,4.462703446984518
5,30000,5.112633919203987
1,1000,8.059406664052508
1,2000,5.09143229970553
1,3000,2.4223370147197727
1,4000,2.0015800938045682
1,5000,2.7055583739022953
1,6000,12.743676980194534
1,7000,15.36237499629098
1,8000,30.33098398554334
1,9000,3.151631068469027
1,10000,3.897877236787935
1,11000,25.89456196232334
1,12000,4.068369086501541
1,13000,3.4751935945794528
1,14000,3.1477394895731927
1,15000,4.3605454253403755
1,16000,3.7392679076643893
1,17000,3.7421043659549373
1,18000,4.159573191180408
1,19000,3.8074455503225106
1,20000,4.3084211254255536
1,21000,3.6107313893219852
1,22000,4.4734772837963055
1,23000,4.005465462239435
1,24000,4.649198738119156
1,25000,4.0244439868284205
1,26000,4.650564938828535
1,27000,3.9216097530747756
1,28000,5.001229794895835
1,29000,4.692738900597312
1,30000,5.819205503587406
