run,size,norm
5,1000,8.430234809788383
5,2000,6.054933215932465
5,3000,14.437783601134354
5,4000,10.654732725531325
5,5000,7.204288333691573
5,6000,5.040953548028669
5,7000,10.56284577606719
5,8000,2.154680002263128
5,9000,4.423503711146304
5,10000,10.369688769587171
5,11000,2.123038778473043
5,12000,2.203727319181999
5,13000,2.264286695648232
5,14000,3.2760125739839787
5,15000,2.2107904083337884
5,16000,3.2449119300620524
5,17000,2.1441283396741335
5,18000,1.653051442826821
5,19000,9.067652448033554
5,20000,3.241251431828713
5,21000,3.3607400857787706
5,22000,2.5212486024883782
5,23000,3.4284937420221824
5,24000,3.9056271146867396
5,25000,3.6962508519104507
5,26000,3.9437380243037836
5,27000,3.6279652257814847
5,28000,3.56551150193637
5,29000,3.551170203308223
5,30000,3.14216295123
2,1000,31.084362249704792
2,2000,9.32815947268436
2,3000,5.116103763909083
2,4000,5.274911331328131
2,5000,6.242025633460531
2,6000,6.078002899262357
2,7000,4.976986561691319
2,8000,9.446581107409031
2,9000,3.212448388645621
2,10000,5.064541479373097
2,11000,2.112249018525019
2,12000,5.6924331277131754
2,13000,13.278156310375007
2,14000,4.160269263157228
2,15000,4.096609357787637
2,16000,9.07246567546622
2,17000,8.716591503377686
2,18000,3.5608594802614064
2,19000,2.991445784412216
2,20000,21.27151068928207
2,21000,2.6333100724912453
2,22000,3.665316880330603
2,23000,2.7797739615585644
2,24000,3.5909244670448417
2,25000,3.2147244468412413
2,26000,3.6828796493027087
2,27000,3.2071655338167884
2,28000,3.6056459632934907
2,29000,3.2813944225291958
2,30000,3.2268354358394316
3,1000,33.10332966954162
3,2000,4.22764579439014
3,3000,5.470728377970408
3,4000,6.274856157448392
3,5000,3.4317058774748483
3,6000,7.842332721000802
3,7000,2.483638290676958
3,8000,3.1912502642933704
3,9000,5.3656838034106
3,10000,2.3889672634213994
3,11000,2.0039843963251953
3,12000,14.233572363787445
3,13000,2.6427352677686926
3,14000,1.9538027977995926
3,15000,2.70236827518808
3,16000,7.202281286527383
3,17000,3.988097166509469
3,18000,8.600975920822062
3,19000,2.9369813451538804
3,20000,9.004124158124958
3,21000,3.059474605767273
3,22000,3.6276883215891744
3,23000,2.598505005078046
3,24000,3.775661033759594
3,25000,3.701734091444877
3,26000,2.950111054260418
3,27000,2.7505664108091303
3,28000,3.9339853301228733
3,29000,4.5465734935424935
3,30000,5.021190233372148
1,1000,9.494681607754309
1,2000,5.579964675344488
1,3000,5.848530815705204
1,4000,8.948949557442981
1,5000,7.094790768317221
1,6000,7.263686360511645
1,7000,9.441288244064019
1,8000,5.432745868801009
1,9000,5.306229914600895
1,10000,4.48885988482258
1,11000,16.14569013192325
1,12000,13.64676824974057
1,13000,9.306185957438938
1,14000,3.7097178288944854
1,15000,2.5973674173585306
1,16000,8.022135077559096
1,17000,2.157046057043941
1,18000,3.527450964364987
1,19000,3.0234750224324465
1,20000,3.440934778576941
1,21000,3.575685587485773
1,22000,3.213650933833223
1,23000,4.174371784028868
1,24000,3.1757049290996613
1,25000,21.691680789180463
1,26000,2.964215622948618
1,27000,2.8959817024415955
1,28000,3.5021683159427335
1,29000,3.7038461416705752
1,30000,3.7186946230667752
4,1000,11.352984243109988
4,2000,5.584502472731872
4,3000,4.146999563853884
4,4000,5.238573847740297
4,5000,6.925381367721558
4,6000,9.119259908248234
4,7000,3.757453574931653
4,8000,8.898874868960435
4,9000,11.95847843651625
4,10000,7.189471230644537
4,11000,2.63222752840949
4,12000,4.218114102658508
4,13000,2.2735388963371186
4,14000,7.885809221304016
4,15000,6.9266643335067615
4,16000,4.3288989838390375
4,17000,3.2098676818456546
4,18000,2.958387169422993
4,19000,8.964200507649739
4,20000,3.4006594281756235
4,21000,2.885320263273185
4,22000,2.8927393916589073
4,23000,6.865782896487371
4,24000,11.097306825433625
4,25000,3.708239323113215
4,26000,2.994968727338369
4,27000,2.955079348039088
4,28000,3.0293398484299243
4,29000,2.9862499062570564
4,30000,2.9660497081271076
