run,size,matrix_norm
2,500,3876.742618759852
2,1000,958.9898068080745
2,1500,71.49644186243444
2,2000,55.23016962276101
2,2500,13.974908354787056
2,3000,29.848090383483722
2,3500,13.944765310237045
2,4000,32.54696325261852
2,4500,68.32849137342588
2,5000,13.01050285015336
2,5500,141.38533974435347
2,6000,67.46041977163435
2,6500,14.081228541902272
2,7000,31.691335981971733
2,7500,51.92999974711489
2,8000,55.57141091474335
2,8500,58.878436706783134
2,9000,12.887438769921
2,9500,71.76690497711266
2,10000,25.587431396362447
2,10500,17.977784635361967
2,11000,15.529816561981857
2,11500,12.437462649886353
2,12000,12.950790062017488
2,12500,79.05435225337682
2,13000,24.93543629210957
2,13500,99.81740795299316
2,14000,35.47843111857552
2,14500,19.548687800044885
2,15000,12.83951083029573
1,500,3602.141375130394
1,1000,686.5664009224696
1,1500,29.225694221949116
1,2000,22.216760198126067
1,2500,18.609192727900886
1,3000,17.577297371000906
1,3500,47.028207805723376
1,4000,26.866568950871464
1,4500,23.10645401838221
1,5000,43.58250400301061
1,5500,13.043888639798082
1,6000,29.645038896365584
1,6500,34.6073365785476
1,7000,192.3898646104798
1,7500,39.83545709630694
1,8000,12.645464071574692
1,8500,12.465574249237644
1,9000,82.80943865410272
1,9500,70.7597836501331
1,10000,37.02557955145408
1,10500,12.960808799970879
1,11000,23.102898575242726
1,11500,12.483539487881893
1,12000,27.68935512359963
1,12500,29.628748435338508
1,13000,30.382048418668333
1,13500,39.6680025240903
1,14000,25.942802863163514
1,14500,19.272989627314494
1,15000,87.86125676814301
4,500,3208.75053147583
4,1000,1264.509271658513
4,1500,55.09813231322441
4,2000,20.1354916126526
4,2500,91.71495486303122
4,3000,105.82913813729103
4,3500,249.7264334357093
4,4000,18.963340373549823
4,4500,12.861503401441729
4,5000,25.003391839425625
4,5500,31.25984553830854
4,6000,202.5832880168104
4,6500,50.602812867204776
4,7000,12.96919369862883
4,7500,12.568414799167025
4,8000,32.244309399409225
4,8500,12.316606732877576
4,9000,41.82869500530231
4,9500,35.65753647047098
4,10000,12.736408061345184
4,10500,71.86462149732526
4,11000,12.306170645519778
4,11500,181.2926723462687
4,12000,12.249360272642328
4,12500,92.09451725888677
4,13000,22.886736126818075
4,13500,40.797829184255
4,14000,67.47031573249097
4,14500,92.21055367249394
4,15000,60.6859409660767
3,500,2156.4293970728945
3,1000,442.3746304463026
3,1500,823.3105540917176
3,2000,248.73547880683594
3,2500,17.877141202250183
3,3000,28.071615215498518
3,3500,13.14388148270769
3,4000,45.80690279548607
3,4500,12.992699252155361
3,5000,93.07739955872611
3,5500,104.32114471203538
3,6000,58.222983378246866
3,6500,32.500788423504574
3,7000,17.95028171240313
3,7500,12.740631464935234
3,8000,67.83301356463814
3,8500,71.7929693852198
3,9000,70.71239462797263
3,9500,131.15870734386468
3,10000,59.810990483217346
3,10500,12.56616184779756
3,11000,28.161802756265658
3,11500,28.44897527986209
3,12000,12.06123426048568
3,12500,45.68135672865811
3,13000,26.799465763237304
3,13500,50.74537505000788
3,14000,12.737965238388258
3,14500,28.33812191469688
3,15000,20.477862086541766
5,500,2541.233922154684
5,1000,360.8863155570007
5,1500,196.20473432212117
5,2000,291.7175310370264
5,2500,36.50390503762883
5,3000,54.50444961832825
5,3500,34.76582338121936
5,4000,100.55445781523531
5,4500,12.307292775155073
5,5000,76.46048229880509
5,5500,34.70709009855607
5,6000,12.91766983834082
5,6500,38.01972747062386
5,7000,12.911412200751611
5,7500,13.81292912794493
5,8000,24.185272372265405
5,8500,22.770584476767496
5,9000,142.78791354922691
5,9500,12.795876063490526
5,10000,12.965833954940793
5,10500,39.488146556399414
5,11000,12.703149477742263
5,11500,87.74036527130208
5,12000,69.73368365220112
5,12500,11.993293017059221
5,13000,13.188428332837232
5,13500,12.523229266073582
5,14000,13.01081627972233
5,14500,12.869332404591066
5,15000,39.35921832204019
