run,size,norm
2,500,65.24086805585827
2,1000,34.55680205342978
2,1500,47.817193147478065
2,2000,23.971077263211736
2,2500,48.58373891736469
2,3000,44.36616084630252
2,3500,23.26869564644292
2,4000,16.01753798390041
2,4500,26.642586033541345
2,5000,17.120570584001825
2,5500,26.57732734893033
2,6000,13.071695949038743
2,6500,16.723138083843214
2,7000,23.77290285112674
2,7500,10.421341810915788
2,8000,19.05347390096324
2,8500,15.689937307493446
2,9000,15.139279844101477
2,9500,18.364628207166405
2,10000,22.99138246118511
2,10500,8.012290012259927
2,11000,25.2902227266714
2,11500,15.534085366597681
2,12000,18.4238956599726
2,12500,15.8105681075843
2,13000,24.22894816853652
2,13500,15.14243182121688
2,14000,12.041327787547466
2,14500,10.061393026801824
2,15000,17.68050719755874
4,500,45.68118604214036
4,1000,49.51251026900418
4,1500,43.6383297888842
4,2000,42.502084200887964
4,2500,44.82215548216923
4,3000,25.7198214552818
4,3500,12.912044330176998
4,4000,16.975383097980046
4,4500,45.22350768972002
4,5000,28.41458017297276
4,5500,21.25873213313005
4,6000,26.1160280965286
4,6500,34.573570503176775
4,7000,13.02879273557112
4,7500,22.163812733214524
4,8000,20.779509756947554
4,8500,17.52642130469482
4,9000,16.987033722340726
4,9500,10.998497614388405
4,10000,19.331106974989954
4,10500,18.402084588649107
4,11000,23.81288501131591
4,11500,17.590059155577677
4,12000,14.106266620646627
4,12500,12.77754810652836
4,13000,15.425911230887502
4,13500,18.17807175066935
4,14000,16.6647170434217
4,14500,20.582540841418396
4,15000,13.44341285705818
3,500,45.83193687660353
3,1000,46.54612662680281
3,1500,29.909683696437387
3,2000,43.23907156541636
3,2500,24.619322200415738
3,3000,50.71575213041564
3,3500,33.93628255663103
3,4000,27.88661829945801
3,4500,39.12326409158274
3,5000,24.673834216187352
3,5500,16.437460763093107
3,6000,20.449029645348922
3,6500,35.956917031346144
3,7000,18.93435715743344
3,7500,23.110035323632903
3,8000,36.091308851109424
3,8500,22.28940005237655
3,9000,23.272158117003844
3,9500,17.55159713502083
3,10000,16.815348280420114
3,10500,17.064427735236368
3,11000,19.00724984087012
3,11500,18.873541320619196
3,12000,11.197431372106431
3,12500,10.228708412081138
3,13000,16.731395760861396
3,13500,12.088658080099483
3,14000,13.49231217201886
3,14500,16.31618398954374
3,15000,15.843245422280749
1,500,49.68581856136441
1,1000,29.423849108707127
1,1500,45.98255548236199
1,2000,31.678713070611057
1,2500,28.818301198441965
1,3000,22.269186022615163
1,3500,39.41557930682315
1,4000,23.347375535109002
1,4500,17.296702257764313
1,5000,35.811409876324625
1,5500,37.735872169166925
1,6000,32.942382069782454
1,6500,20.95337011509698
1,7000,46.51768447168888
1,7500,25.5577373083416
1,8000,20.068810973655953
1,8500,15.710974418775717
1,9000,37.33215255478481
1,9500,20.215664130688165
1,10000,20.356427300855312
1,10500,20.271821706902312
1,11000,12.388265327025964
1,11500,18.278685626051168
1,12000,31.4900232954113
1,12500,10.006788007294189
1,13000,17.785425694411693
1,13500,24.71068781231817
1,14000,15.480555312592625
1,14500,11.199280566996299
1,15000,13.944818469688968
5,500,41.07469568127307
5,1000,32.026702807112436
5,1500,40.68986529676951
5,2000,37.747402829389145
5,2500,31.65112196751272
5,3000,34.10020575174105
5,3500,33.19521563446727
5,4000,28.16533301145536
5,4500,22.962887005489744
5,5000,19.069436792886506
5,5500,42.958307441586676
5,6000,13.137721509097528
5,6500,19.652135806453316
5,7000,19.21428429455293
5,7500,21.98335589614308
5,8000,12.848729252540629
5,8500,26.827356223482845
5,9000,19.76939042670956
5,9500,17.303512461558334
5,10000,15.894134988504232
5,10500,9.099217359798175
5,11000,15.083333623219088
5,11500,12.532667452406125
5,12000,14.508149550243903
5,12500,22.627550761246265
5,13000,17.061099470399668
5,13500,10.358568023215147
5,14000,13.694314583863406
5,14500,13.142146590333914
5,15000,6.622099031886913
