run,size,matrix_norm
4,1000,4.60931261469754
4,2000,1.9836892289614743
4,3000,1.62686349307464
4,4000,1.7745699095486371
4,5000,0.676912250131008
4,6000,0.684577517416651
4,7000,1.37294725783722
4,8000,0.4765734753106014
4,9000,0.7984084048556411
4,10000,0.44204706375008884
4,11000,0.7777340359699777
4,12000,0.7162668036700264
4,13000,0.33909584432389533
4,14000,0.29351527905952934
4,15000,1.0389938931167562
4,16000,0.5266406785297828
4,17000,0.5709773614333029
4,18000,0.5651177172215968
4,19000,0.3718890277127347
4,20000,0.1541323172052591
4,21000,0.4520662224774131
4,22000,0.16999165126287882
4,23000,0.19747187924428078
4,24000,0.3559265185955709
4,25000,0.20926094158275624
4,26000,0.29582347664601893
4,27000,0.18161889157728642
4,28000,0.17011281086632896
4,29000,0.2578384201074518
4,30000,0.19610632350564952
2,1000,13.492082703809073
2,2000,2.9155668034372137
2,3000,2.6383420400161186
2,4000,2.2150157375388426
2,5000,7.481781188939168
2,6000,0.6724123037200612
2,7000,1.6075734896990372
2,8000,1.010970644760664
2,9000,0.19192522791213512
2,10000,1.485306712666462
2,11000,0.7778686176888074
2,12000,0.18551466370677225
2,13000,0.9686353490979906
2,14000,0.2415868291991468
2,15000,0.2850213874878782
2,16000,0.6106231310164673
2,17000,1.065509271105419
2,18000,0.6302667905179504
2,19000,0.22584852152919802
2,20000,0.3719690284379137
2,21000,0.35017654661925857
2,22000,0.19803283538015462
2,23000,0.19682565118817452
2,24000,0.2854017710016665
2,25000,0.3959810705104415
2,26000,0.6175419100024021
2,27000,0.18584040660273354
2,28000,0.15662790224547246
2,29000,0.14397939110182903
2,30000,0.16922977414699866
3,1000,15.67355595116713
3,2000,2.874419185778586
3,3000,3.0879427146464646
3,4000,0.8232402787171539
3,5000,0.7762438375032168
3,6000,0.7453215332352318
3,7000,1.2883601585670654
3,8000,1.2683556962189526
3,9000,1.1488200761883371
3,10000,0.8639290287171423
3,11000,0.5296604670173226
3,12000,0.42540797457425095
3,13000,0.17698573381791116
3,14000,0.33346869327878326
3,15000,0.1715752699588229
3,16000,0.7575052360149745
3,17000,0.22731675545037258
3,18000,0.31827100464805513
3,19000,0.6571718215069303
3,20000,0.25304736008848605
3,21000,0.2701464018165014
3,22000,0.34674514068675794
3,23000,0.19647628941893547
3,24000,0.25676300513608563
3,25000,0.25425313125042487
3,26000,0.2395914826467254
3,27000,0.2352316055837735
3,28000,0.5006378695971258
3,29000,0.2331337963155766
3,30000,0.6386039100905313
5,1000,8.203081076088608
5,2000,5.042137872459862
5,3000,10.59303785207443
5,4000,2.3478219435457546
5,5000,1.0096979188217663
5,6000,1.81610199318396
5,7000,0.8819725411602937
5,8000,0.5861943639066663
5,9000,0.930084356379708
5,10000,0.7932100758767999
5,11000,0.5955345104999296
5,12000,0.32844850487111465
5,13000,0.19311080388119214
5,14000,0.31336334534343285
5,15000,1.896410192750659
5,16000,0.34231548642988374
5,17000,0.3504934399437556
5,18000,0.26173253146987274
5,19000,0.42182146211293897
5,20000,0.36697235456828553
5,21000,0.17266965791503336
5,22000,0.7154004672062897
5,23000,0.30014019824837485
5,24000,0.3783201513842214
5,25000,0.1418046224903002
5,26000,0.2030690711415786
5,27000,0.1561267450644203
5,28000,0.3425251274316224
5,29000,0.2700963751542725
5,30000,0.2926583631104387
1,1000,7.480435371601645
1,2000,2.027725549098041
1,3000,2.2477696152973556
1,4000,2.4307471681822
1,5000,0.6666305325982619
1,6000,0.7763329300970547
1,7000,0.6618258495684538
1,8000,7.865696331002687
1,9000,0.5606779056082917
1,10000,0.36804140188023293
1,11000,1.5943416381300055
1,12000,0.3122658681436665
1,13000,1.4635468375344456
1,14000,0.31766432892195057
1,15000,0.596213780345571
1,16000,0.16432054317537098
1,17000,0.19396571952630157
1,18000,0.26011195111337293
1,19000,0.6153550263555109
1,20000,0.4811014050739632
1,21000,0.6059550619271521
1,22000,0.16123107062040407
1,23000,0.3518454383765125
1,24000,0.31979007099508444
1,25000,0.3441156878342547
1,26000,0.1301900810904635
1,27000,0.22371116812903566
1,28000,0.20062170827047435
1,29000,0.9964848240065178
1,30000,0.22785877639840293
