run,size,norm
3,500,7.458380619683227
3,1000,5.218410963750107
3,1500,3.7062354940441398
3,2000,3.5294289187579584
3,2500,4.603494916549574
3,3000,4.128339677919796
3,3500,5.483488670037345
3,4000,3.801128920530711
3,4500,3.1061849698691764
3,5000,3.137525987063105
3,5500,3.157702006007234
3,6000,4.454061943903722
3,6500,4.271021818731246
3,7000,2.7273054957560783
3,7500,2.8467513341765778
3,8000,2.963085007126249
3,8500,2.665760636640344
3,9000,2.6682859124162484
3,9500,2.330688247859791
3,10000,2.011674450024468
3,10500,2.6200963812571856
3,11000,3.1950632664587095
3,11500,2.4755802391932527
3,12000,2.669387883661127
3,12500,2.6401422434470057
3,13000,2.755915258652616
3,13500,3.4896719707656256
3,14000,2.6432915193124984
3,14500,2.8386475357230347
3,15000,1.8693863859921482
4,500,6.85593347067734
4,1000,7.249621356679883
4,1500,4.763185718724428
4,2000,5.549885763557827
4,2500,3.2889262710398315
4,3000,2.5962200522773977
4,3500,2.504004222544212
4,4000,1.8233773510937408
4,4500,4.064587535748257
4,5000,2.603163021291086
4,5500,2.608523173762339
4,6000,2.4122096916445606
4,6500,3.270963147107042
4,7000,3.0820103219799533
4,7500,2.0651699331234696
4,8000,2.9507177736970376
4,8500,3.1622214649855507
4,9000,2.3440224442211193
4,9500,2.2247124878957334
4,10000,2.931128223345035
4,10500,2.2535212807653555
4,11000,3.9146047377586144
4,11500,3.1230118276103607
4,12000,2.359659211136913
4,12500,2.468523191695856
4,13000,2.284390036507682
4,13500,2.8140575215855526
4,14000,4.29324349431809
4,14500,3.097513585593822
4,15000,2.754039725390103
2,500,7.908160263547972
2,1000,6.240211203209103
2,1500,3.529500561767509
2,2000,4.750602340580387
2,2500,3.943461568229464
2,3000,3.5299494590646145
2,3500,4.590299766137763
2,4000,2.0561161680283955
2,4500,3.342736587467293
2,5000,3.5880791838279844
2,5500,2.9878177826155183
2,6000,3.3220185261087107
2,6500,4.75749784543633
2,7000,3.678766118598323
2,7500,2.966855657733046
2,8000,2.6732862872702055
2,8500,2.5485192539267576
2,9000,2.5620322610306596
2,9500,2.141552717862102
2,10000,2.424675662579844
2,10500,2.815913580743835
2,11000,2.9728651960837302
2,11500,2.064094673138477
2,12000,2.9177857493219883
2,12500,2.969810501186435
2,13000,3.4831887883675456
2,13500,2.6260918992821605
2,14000,2.610888280421597
2,14500,2.1478452053742965
2,15000,3.087854849917371
1,500,7.925243225276467
1,1000,7.808082920847004
1,1500,5.471960663597361
1,2000,6.1027431381635
1,2500,3.4610171744150624
1,3000,3.8986035858716157
1,3500,4.659297078914856
1,4000,2.150494139926726
1,4500,2.2494623524140867
1,5000,2.660081525693554
1,5500,2.8128531609078156
1,6000,4.261577997910183
1,6500,2.833328323793016
1,7000,6.408978182225508
1,7500,3.299020167470215
1,8000,3.134561826927466
1,8500,4.782859545908515
1,9000,2.4764624101577213
1,9500,2.9339961008974704
1,10000,2.6488461974341946
1,10500,4.4403960483659315
1,11000,2.865001183218088
1,11500,2.2463034898538137
1,12000,3.3880835264814295
1,12500,2.7315749057526286
1,13000,2.402545619079877
1,13500,3.050869004344688
1,14000,1.8252744719032272
1,14500,2.634474787786509
1,15000,2.3158093431178357
5,500,8.413299189743425
5,1000,5.5342587187627705
5,1500,3.4785248145244676
5,2000,3.6998116119423368
5,2500,3.561684637007335
5,3000,5.903729512881974
5,3500,2.8828946525904966
5,4000,2.539699995627084
5,4500,2.8368523419029494
5,5000,3.1119910831526947
5,5500,2.1776710709057903
5,6000,3.104821830888002
5,6500,2.5174807841080122
5,7000,3.532707770882654
5,7500,2.736275243817109
5,8000,5.5915075356053014
5,8500,3.302082072041561
5,9000,2.9875048799586486
5,9500,2.810140672404545
5,10000,2.458156292146344
5,10500,2.6528667216604354
5,11000,3.230302419605249
5,11500,2.5413737551503903
5,12000,3.3512589395541257
5,12500,3.759925479856746
5,13000,2.437803411663242
5,13500,3.1826663063870146
5,14000,3.0489558821471463
5,14500,2.917616704868349
5,15000,2.8372485847714097
