run,size,norm
2,500,83.7968699080755
2,1000,51.47982448302968
2,1500,44.24032480496494
2,2000,25.793052705290712
2,2500,20.607198626589387
2,3000,40.363130081833496
2,3500,23.385261110365708
2,4000,20.827592120006575
2,4500,15.55000608725516
2,5000,13.72457767844358
2,5500,24.280970370713433
2,6000,17.747334187232145
2,6500,26.684123328095332
2,7000,34.3392279569048
2,7500,16.48965648643509
2,8000,19.73000726333165
2,8500,19.867491542175006
2,9000,11.576485794631395
2,9500,19.06250471634891
2,10000,17.950874491138872
2,10500,14.891199110155219
2,11000,12.254915068579125
2,11500,12.561874405695086
2,12000,12.328550620076136
2,12500,21.372978282627354
2,13000,24.310186890760527
2,13500,15.313567982241164
2,14000,21.501982804312426
2,14500,13.362001278787215
2,15000,14.362456843649696
1,500,106.5261255470027
1,1000,65.34164851594524
1,1500,18.696387905934174
1,2000,13.736422188001027
1,2500,21.002670331221903
1,3000,22.56024185610684
1,3500,14.570141517178437
1,4000,19.44404940287965
1,4500,13.63840155069322
1,5000,31.708191757502096
1,5500,10.674921645015171
1,6000,17.68691452020206
1,6500,11.109485685115747
1,7000,33.72976909186279
1,7500,16.90921979617844
1,8000,17.387406003228087
1,8500,26.143762678005576
1,9000,24.365276725253768
1,9500,17.086887919231337
1,10000,15.77616262835401
1,10500,10.00344674041312
1,11000,15.442545717766693
1,11500,9.961230133656507
1,12000,16.062425360381024
1,12500,11.967613770611377
1,13000,23.22325324046823
1,13500,18.628173885979667
1,14000,12.124294168194016
1,14500,34.79670360447899
1,15000,18.58013791212333
4,500,117.52456006824909
4,1000,43.01179332548853
4,1500,40.67875359319598
4,2000,14.541891118046259
4,2500,21.307794907755856
4,3000,27.068310468213234
4,3500,44.44109672762026
4,4000,17.381135843285346
4,4500,9.882351986878612
4,5000,21.211346239385588
4,5500,19.8261981930908
4,6000,21.434997199266768
4,6500,31.3111665306951
4,7000,10.474643829449754
4,7500,16.803640682530283
4,8000,14.859997479681686
4,8500,11.127199423481919
4,9000,25.515215657748072
4,9500,32.52535344614234
4,10000,14.237414833365678
4,10500,14.644339226502833
4,11000,13.32916159589061
4,11500,15.20033303868297
4,12000,10.475336529977204
4,12500,16.936804642519334
4,13000,22.316626288343773
4,13500,18.15151369686024
4,14000,18.09065884139252
4,14500,22.963712129950537
4,15000,21.150296807324562
3,500,185.6726631228045
3,1000,55.47805483515414
3,1500,25.820880831136314
3,2000,40.4019818883618
3,2500,20.90429789148265
3,3000,21.220139622430775
3,3500,15.52789349844132
3,4000,29.402258565022922
3,4500,10.113695139731636
3,5000,23.68705309922654
3,5500,52.90467161068668
3,6000,17.396321062977353
3,6500,30.03808597335658
3,7000,27.759448289815637
3,7500,15.060885984260976
3,8000,25.140646707183993
3,8500,16.215323946195973
3,9000,21.003195338295246
3,9500,19.068043705220735
3,10000,18.86281151670307
3,10500,10.771769650479271
3,11000,18.102567676704986
3,11500,25.3076400978123
3,12000,15.603598759535696
3,12500,15.98637247235586
3,13000,14.59558347605459
3,13500,18.71756514652831
3,14000,16.68712761960164
3,14500,16.466588712186347
3,15000,18.89686014800012
5,500,130.84679653761154
5,1000,32.95685881963028
5,1500,23.892960678414365
5,2000,27.499495935117498
5,2500,14.231951188256712
5,3000,19.097695949585543
5,3500,19.10857319265996
5,4000,15.266695793578595
5,4500,11.10354715854538
5,5000,44.99361418789953
5,5500,15.037837831222
5,6000,21.443849765259376
5,6500,22.93939621192498
5,7000,15.776548034417265
5,7500,19.90406403421374
5,8000,24.95833663173323
5,8500,23.09656885619193
5,9000,25.536416890757227
5,9500,15.1840476637396
5,10000,14.52636580388812
5,10500,12.054281860431283
5,11000,11.438403867390756
5,11500,19.820872482464672
5,12000,21.60571643246919
5,12500,26.66524378308515
5,13000,11.126650437451852
5,13500,16.168920389881393
5,14000,16.38369688244207
5,14500,17.554756530212483
5,15000,17.75680099848946
