run,size,norm
5,500,47.070620188771606
5,1000,27.260334095440662
5,1500,22.918947376665876
5,2000,18.3507160619991
5,2500,12.383174463861119
5,3000,11.373851963872099
5,3500,6.479751946288654
5,4000,9.794484783521657
5,4500,13.988542042918796
5,5000,6.777941348490185
5,5500,6.461880863390299
5,6000,5.779996810789625
5,6500,7.898138796502505
5,7000,10.526482257810791
5,7500,9.07159344481588
5,8000,3.7273885862680824
5,8500,4.637682127771995
5,9000,3.8394152298492332
5,9500,6.1784461010114
5,10000,3.239194176535711
5,10500,3.11983992395216
5,11000,4.564293532649857
5,11500,3.74806953375296
5,12000,3.2975350136425354
5,12500,4.018320832628946
5,13000,2.7085481490556353
5,13500,4.513352938978264
5,14000,3.2138767896715215
5,14500,4.547735108379016
5,15000,4.795143302571928
1,500,59.54547007447804
1,1000,38.579473403608006
1,1500,18.74915735838609
1,2000,18.790423933391224
1,2500,10.534838448133728
1,3000,11.016506343788151
1,3500,9.587877474226179
1,4000,12.706864949184862
1,4500,7.041360711842305
1,5000,5.8283091926789155
1,5500,8.413851235282277
1,6000,6.510201249665622
1,6500,5.293272254792942
1,7000,10.414725349140125
1,7500,4.257361754684991
1,8000,4.921540634267436
1,8500,4.059868493527606
1,9000,3.6727913607198275
1,9500,7.170467899507473
1,10000,2.5980824556309567
1,10500,7.0476084027144
1,11000,2.490660323073626
1,11500,4.027562536947308
1,12000,3.741340962981722
1,12500,5.240675051215098
1,13000,2.816939872006283
1,13500,2.9713221548189153
1,14000,2.627219307435459
1,14500,2.746403537634931
1,15000,2.929400754656828
4,500,43.75643987065771
4,1000,35.300658215648006
4,1500,21.041302680485952
4,2000,21.65909352279314
4,2500,10.143168972713482
4,3000,14.312053586883735
4,3500,6.654862304913023
4,4000,5.38336437548929
4,4500,10.077274117125624
4,5000,10.558289424582778
4,5500,4.820376355756166
4,6000,8.886176507471097
4,6500,5.626440215119878
4,7000,4.452187521004458
4,7500,6.305376984662455
4,8000,4.199628099356938
4,8500,5.608456970842351
4,9000,4.117187802662741
4,9500,2.6626919445039743
4,10000,7.3283857630070806
4,10500,6.620510674583104
4,11000,4.179747291005251
4,11500,4.99434541687404
4,12000,2.821290208635864
4,12500,3.973349062411295
4,13000,2.874187237833332
4,13500,2.9504108009825365
4,14000,4.365869058352672
4,14500,4.3376078325281275
4,15000,3.9715349202903023
2,500,44.71120861833977
2,1000,23.74084977235808
2,1500,11.228055592207447
2,2000,13.901653344312951
2,2500,7.5269493870200055
2,3000,13.467145176233036
2,3500,9.554662197026875
2,4000,6.121379048527749
2,4500,7.597282176277895
2,5000,3.8078627385022874
2,5500,10.443057763967673
2,6000,7.956850936375111
2,6500,3.326356630017288
2,7000,5.221876306788861
2,7500,11.375099026183083
2,8000,3.368179877811664
2,8500,3.825474593792378
2,9000,3.201417448217468
2,9500,3.094886983420224
2,10000,4.491767170164782
2,10500,5.060524888033605
2,11000,2.667209399178598
2,11500,5.106911016470825
2,12000,3.595888848592595
2,12500,4.9576233877148415
2,13000,3.331965631706605
2,13500,2.8497201287958958
2,14000,3.8204849701980286
2,14500,3.1913516602578693
2,15000,4.609675347669584
3,500,34.58748852786092
3,1000,22.945521133551114
3,1500,25.310090461700874
3,2000,15.325135327311497
3,2500,11.974753860384684
3,3000,9.0077791972074
3,3500,10.422245168971706
3,4000,9.08703691989354
3,4500,10.379839418274237
3,5000,5.745657530414841
3,5500,8.997359711228562
3,6000,8.364227252352856
3,6500,5.788718633282045
3,7000,3.5260248680998587
3,7500,4.291110517457023
3,8000,5.913865441367322
3,8500,3.714003237673852
3,9000,3.7461793237128758
3,9500,4.334142584633953
3,10000,4.390621368401408
3,10500,5.100938060381872
3,11000,3.9570994709119116
3,11500,4.634651915381948
3,12000,6.577073872255945
3,12500,3.30281755235349
3,13000,3.792089422599226
3,13500,4.4150675954159455
3,14000,5.486188450430746
3,14500,3.192357268013168
3,15000,3.13090896870835
