run,size,matrix_norm
2,500,1056.4784451481107
2,1000,270.4802161163343
2,1500,457.54245953483877
2,2000,121.02796564839264
2,2500,499.2919593497513
2,3000,178.96307905539786
2,3500,209.79427922395567
2,4000,76.3637509265741
2,4500,69.81323163467688
2,5000,32.934187017244504
2,5500,158.18424877475306
2,6000,92.9573964892801
2,6500,91.49811308204833
2,7000,55.43064040766387
2,7500,27.291618670644255
2,8000,101.31988335192422
2,8500,38.02188073860918
2,9000,47.667093812951315
2,9500,118.04418277419774
2,10000,82.32445871569189
2,10500,18.199208313258893
2,11000,142.86809218141045
2,11500,59.363653813670176
2,12000,116.60111936132472
2,12500,56.74858790080579
2,13000,91.25612397255347
2,13500,25.77524575468919
2,14000,62.04375760160068
2,14500,33.812012438118
2,15000,105.78077015795057
4,500,343.06414874375537
4,1000,502.71149240264515
4,1500,459.9601745258937
4,2000,535.7911425384
4,2500,313.2415702083077
4,3000,46.93067062535588
4,3500,63.478820245048084
4,4000,44.598993757071334
4,4500,337.0709818922223
4,5000,100.75980832428868
4,5500,75.46612176384956
4,6000,117.8398888578144
4,6500,190.2678964494653
4,7000,44.546096513505795
4,7500,183.53644228745497
4,8000,188.64730695601423
4,8500,84.04480368701533
4,9000,45.51306871943703
4,9500,25.840428437567436
4,10000,61.995753380020425
4,10500,169.65849427239567
4,11000,56.392390963443695
4,11500,121.3807582329503
4,12000,51.52590521699973
4,12500,26.925246993332063
4,13000,82.95217176458016
4,13500,121.0713981445684
4,14000,26.59680252846312
4,14500,108.73803542720546
4,15000,65.67035926371086
3,500,343.7957985733655
3,1000,160.18292247065784
3,1500,189.99339571672644
3,2000,633.926133055262
3,2500,127.44540085324165
3,3000,237.29515325904623
3,3500,223.52654178205677
3,4000,260.543734528873
3,4500,255.227560890701
3,5000,177.20194517106637
3,5500,47.336542901540824
3,6000,64.66941879049301
3,6500,85.92091079058723
3,7000,83.30868165717565
3,7500,96.61400739392062
3,8000,472.29276710083803
3,8500,96.84123249786103
3,9000,151.38479025086713
3,9500,65.47656720186275
3,10000,87.31528548398464
3,10500,78.62669019875804
3,11000,142.00701329915717
3,11500,38.06077693701704
3,12000,75.43833821450711
3,12500,28.598418420204354
3,13000,32.55102878962847
3,13500,38.30437506196555
3,14000,51.106984702336895
3,14500,66.6585345065655
3,15000,51.60655663040666
1,500,520.2451363828739
1,1000,90.99146493899217
1,1500,223.6143776664911
1,2000,205.46799437408063
1,2500,181.22776591007752
1,3000,163.57862213166297
1,3500,427.31518591514566
1,4000,112.05065309717484
1,4500,45.21982151330505
1,5000,218.87724512376485
1,5500,169.39167784476402
1,6000,203.66064885414752
1,6500,59.830389122943544
1,7000,265.1251510400657
1,7500,62.664698194811145
1,8000,52.7880363501377
1,8500,125.07524562940489
1,9000,99.23080277792563
1,9500,143.9109828539651
1,10000,149.68459391518587
1,10500,66.88873342622198
1,11000,38.14502460207685
1,11500,89.33252119122696
1,12000,182.01082952465782
1,12500,41.505906443681326
1,13000,178.85119485511373
1,13500,88.36034337299084
1,14000,38.55992684689894
1,14500,35.10733698579677
1,15000,57.01388372351423
5,500,416.20238302187306
5,1000,238.99866540223638
5,1500,201.24318395470456
5,2000,339.56259861007425
5,2500,147.0990587865194
5,3000,161.56859117190646
5,3500,160.0374490610131
5,4000,126.57645544868785
5,4500,104.64193127757743
5,5000,61.58405710035139
5,5500,219.55975300587056
5,6000,77.17853179755275
5,6500,110.9986571473048
5,7000,75.31434187134042
5,7500,63.65782644045442
5,8000,22.15687091281223
5,8500,145.7218537800158
5,9000,92.53477079726865
5,9500,90.23351984957758
5,10000,47.9400487514282
5,10500,15.152120374674183
5,11000,58.14318161179491
5,11500,33.021105672885994
5,12000,42.83669470133061
5,12500,61.93909449562185
5,13000,64.27835305990405
5,13500,25.47487665710724
5,14000,41.43846102590602
5,14500,25.555458505075027
5,15000,23.672283041665086
