run,size,mmd
3,500,545.6137995957849
3,1000,402.9634668544427
3,1500,275.98061803027406
3,2000,165.13881577424684
3,2500,110.73472380215725
3,3000,121.82040307690151
3,3500,47.569067757467174
3,4000,63.09469736764544
3,4500,75.13599917396466
3,5000,39.475231597302475
3,5500,59.34640933466687
3,6000,46.17391090497746
3,6500,36.30747437711942
3,7000,49.418458370408196
3,7500,58.29938667154211
3,8000,62.831605214286505
3,8500,48.25887887082232
3,9000,42.94292937197267
3,9500,42.311577380450146
3,10000,48.55526855181622
3,10500,39.55697256737663
3,11000,51.896940480226135
3,11500,40.58965651824456
3,12000,44.416652066539015
3,12500,43.388521524546704
3,13000,45.473680972243095
3,13500,34.64312703624944
3,14000,36.972862668786284
3,14500,56.68863521798772
3,15000,56.86854429208267
4,500,977.3503396850914
4,1000,241.47609308745893
4,1500,110.56967716507137
4,2000,97.5115213979779
4,2500,92.24742397737694
4,3000,99.32752173476285
4,3500,70.16976298801022
4,4000,73.12944034306263
4,4500,65.11710826992407
4,5000,50.524966150127575
4,5500,41.32993923526043
4,6000,42.10854194332823
4,6500,38.34879232899133
4,7000,54.84228183535965
4,7500,66.6328271533889
4,8000,41.447160502838855
4,8500,49.725118490968825
4,9000,56.72635037454982
4,9500,53.46615952622737
4,10000,61.45464466850003
4,10500,38.574076643467656
4,11000,49.109582488037205
4,11500,37.055116109514714
4,12000,42.29506132448763
4,12500,42.5275320723483
4,13000,43.608939127080475
4,13500,38.71336479789553
4,14000,37.5401730016072
4,14500,36.97489740369791
4,15000,41.1020545086497
2,500,433.3104309393293
2,1000,186.56245333787723
2,1500,155.9789954127747
2,2000,136.34279051158217
2,2500,122.09917248532578
2,3000,91.66180976735836
2,3500,51.844823781101326
2,4000,42.79842021742738
2,4500,105.27981276448972
2,5000,55.86514508770037
2,5500,53.69304037594835
2,6000,94.98047376266723
2,6500,59.077008714097914
2,7000,41.61158802778966
2,7500,42.252244924820765
2,8000,38.09789978856915
2,8500,42.97993004687252
2,9000,67.0913023727114
2,9500,34.44211021926079
2,10000,43.35449673214855
2,10500,47.68667731866992
2,11000,46.49476557163973
2,11500,48.59944083893243
2,12000,46.47616526450973
2,12500,40.27525652174307
2,13000,34.75900323765844
2,13500,58.10928462087634
2,14000,51.45342825551339
2,14500,45.89408880363115
2,15000,53.8472332321348
1,500,612.6268876885413
1,1000,358.4482802240005
1,1500,252.1793709400178
1,2000,136.03608440497126
1,2500,87.18464914830761
1,3000,85.21954304053365
1,3500,64.49833588804866
1,4000,49.87868828913288
1,4500,83.84509480840552
1,5000,50.48150399806408
1,5500,94.34109327548381
1,6000,50.78413670322056
1,6500,53.29097718239647
1,7000,60.817621027726226
1,7500,51.05328331625909
1,8000,51.748318470028096
1,8500,69.83050861082458
1,9000,44.6999322408678
1,9500,38.34453862979366
1,10000,50.66142934245468
1,10500,44.504809550567614
1,11000,54.26974675947154
1,11500,37.94474138297853
1,12000,43.73206541081307
1,12500,46.125627843181846
1,13000,48.79103660627458
1,13500,39.94799609225226
1,14000,42.962128311933455
1,14500,41.675822071595874
1,15000,39.5096349730023
5,500,778.5463054866311
5,1000,406.3944566229386
5,1500,278.2612391203634
5,2000,85.56543226785135
5,2500,128.30157804788115
5,3000,65.09885551923406
5,3500,51.37299993602295
5,4000,53.49105932176172
5,4500,32.454978871237614
5,5000,50.171194809411624
5,5500,49.09011731913269
5,6000,45.5116842507231
5,6500,73.68139307032492
5,7000,54.67836903583884
5,7500,58.34817935869619
5,8000,60.01847377525136
5,8500,62.06457935899081
5,9000,40.64932974880938
5,9500,52.78389163450094
5,10000,43.31571832854843
5,10500,62.82321300932501
5,11000,37.51653358665063
5,11500,86.75749345373869
5,12000,40.645606295598554
5,12500,39.824860960087236
5,13000,39.72535933076658
5,13500,44.45726303772337
5,14000,52.10034501221113
5,14500,41.61899562531784
5,15000,39.01988961494603
