run,size,mmd
5,1000,144.72113049391822
5,2000,120.36063910745993
5,3000,374.15561963400114
5,4000,231.73773347247675
5,5000,119.30831613625861
5,6000,53.96506785113905
5,7000,196.49096560793046
5,8000,24.976213458070745
5,9000,61.13226286715143
5,10000,173.49891444093325
5,11000,30.914875716827062
5,12000,25.588329171612184
5,13000,29.10513182529268
5,14000,38.1405625110266
5,15000,32.01782467071079
5,16000,36.61382989303434
5,17000,25.50224934521379
5,18000,17.266482344375518
5,19000,158.84488680656116
5,20000,50.78629383170304
5,21000,53.718292951896956
5,22000,32.50353291812819
5,23000,54.3379895006847
5,24000,59.10848573552292
5,25000,52.9479100430203
5,26000,52.83529508232976
5,27000,54.81210464944185
5,28000,45.36529074709493
5,29000,48.95444796510782
5,30000,42.00110594112581
2,1000,1100.920895196604
2,2000,176.22172635994914
2,3000,71.72957630795909
2,4000,62.75788481657189
2,5000,83.74605871071932
2,6000,95.36146486003777
2,7000,68.65365088391815
2,8000,156.76320099859893
2,9000,46.29014942913743
2,10000,78.613665202007
2,11000,24.487969803641157
2,12000,75.55165217398097
2,13000,261.5367375395268
2,14000,64.23039734067481
2,15000,68.5397958424555
2,16000,147.4666047268741
2,17000,153.4372762280189
2,18000,43.38607278056709
2,19000,39.32985548292517
2,20000,569.1983138893387
2,21000,35.34870356393593
2,22000,52.82743119300453
2,23000,38.20023352593289
2,24000,49.09703026272788
2,25000,45.72115115770496
2,26000,45.728864150160845
2,27000,46.20086129026352
2,28000,44.8121017873327
2,29000,44.5107709894598
2,30000,49.59492228680739
3,1000,1451.9611424440036
3,2000,55.02924042884984
3,3000,73.75121559562054
3,4000,100.51509722930541
3,5000,49.64777830737281
3,6000,110.81403310135548
3,7000,34.64423222449436
3,8000,33.828485168585715
3,9000,82.72926805056457
3,10000,35.091658127096665
3,11000,20.801256968952575
3,12000,299.28845581025195
3,13000,34.48561740028618
3,14000,27.66329482323054
3,15000,38.54071801258821
3,16000,111.74283678278319
3,17000,62.0618138467083
3,18000,128.21648627790162
3,19000,45.82363829299416
3,20000,154.65216993542933
3,21000,44.02469648480542
3,22000,61.96348059364941
3,23000,35.56817295924276
3,24000,57.58392547156025
3,25000,53.61794811390817
3,26000,37.21324148548116
3,27000,36.78089976377933
3,28000,63.350394260805146
3,29000,67.91242804967524
3,30000,68.18394463743668
1,1000,179.14495612013116
1,2000,101.15685311338655
1,3000,86.86881981536389
1,4000,157.23112423001737
1,5000,86.3916506729089
1,6000,110.83066416527741
1,7000,169.1412033205524
1,8000,86.99684434039129
1,9000,91.373278247016
1,10000,55.41754719995708
1,11000,347.03311020722197
1,12000,266.5187327984132
1,13000,150.16832040063068
1,14000,61.66194499288075
1,15000,41.078526504825675
1,16000,136.00276867082158
1,17000,25.329526798863203
1,18000,56.737211197149975
1,19000,46.250416315454665
1,20000,49.13625588638368
1,21000,53.35182873069517
1,22000,52.03172722627308
1,23000,68.3077429843014
1,24000,44.72915619878107
1,25000,589.3764617796361
1,26000,43.029805933691904
1,27000,39.06575106478464
1,28000,53.546017427535354
1,29000,52.94129777924669
1,30000,50.33342742821616
4,1000,231.1171296071111
4,2000,75.14189455197895
4,3000,51.88733445957281
4,4000,76.91112255998317
4,5000,129.95044721793946
4,6000,167.96091044868416
4,7000,59.755908505754974
4,8000,125.43264370297797
4,9000,220.8867167482063
4,10000,96.303793942952
4,11000,41.51867734180981
4,12000,71.83681469865581
4,13000,22.515800830698577
4,14000,137.6605890054307
4,15000,96.08452313653294
4,16000,58.295174301251734
4,17000,44.66414728539558
4,18000,44.17320808194454
4,19000,147.23180017736414
4,20000,43.47259866415715
4,21000,38.41132526534612
4,22000,34.618255415653806
4,23000,101.8468306703662
4,24000,198.40389258936662
4,25000,46.595524530789426
4,26000,37.77939139320157
4,27000,41.440133993461224
4,28000,35.66186959292777
4,29000,42.41283797249152
4,30000,41.63955201628975
