run,size,mmd
4,1000,158.10561521426698
4,2000,124.07774626302256
4,3000,128.83378518887267
4,4000,52.99213840520929
4,5000,340.9010684656041
4,6000,61.66633253529901
4,7000,64.08204265926307
4,8000,48.71661641841568
4,9000,50.305209895962115
4,10000,56.028535167302095
4,11000,61.66035632263918
4,12000,583.7343119148145
4,13000,70.04978559397982
4,14000,55.6637753987818
4,15000,158.12225082199242
4,16000,179.0531661259985
4,17000,54.86763908112073
4,18000,54.366927361200275
4,19000,55.403534424696915
4,20000,72.51230980031927
4,21000,66.1181073885007
4,22000,56.21313419401588
4,23000,59.54053137457261
4,24000,63.408412206732805
4,25000,75.57885184585105
4,26000,70.63480022533001
4,27000,72.47226920425054
4,28000,85.15171444444313
4,29000,86.67710531701007
4,30000,64.93992160106153
2,1000,390.40604887735515
2,2000,128.0228969822246
2,3000,968.9927450642467
2,4000,86.57145934373007
2,5000,1088.3521932473795
2,6000,35.663726522988476
2,7000,260.6510277450613
2,8000,124.32866282567265
2,9000,44.4928978538659
2,10000,34.5886687951064
2,11000,42.58673025739428
2,12000,58.55310977103543
2,13000,71.10712414986179
2,14000,51.31865218160903
2,15000,63.96453644335975
2,16000,111.5935489725262
2,17000,69.62169634181434
2,18000,57.984511933110056
2,19000,50.61229963557824
2,20000,81.3506577199999
2,21000,76.19155535588656
2,22000,64.65508791007628
2,23000,63.5285407745516
2,24000,86.25200496614939
2,25000,72.9203328700624
2,26000,82.34283651284262
2,27000,84.26607213908474
2,28000,76.64807995428157
2,29000,69.06004206599836
2,30000,68.6166889149533
3,1000,214.6593215003668
3,2000,384.8302458667911
3,3000,202.2462679075
3,4000,351.92931056489573
3,5000,46.81227405222019
3,6000,58.12709878330373
3,7000,35.14835433163093
3,8000,55.0694703010144
3,9000,116.41085505831376
3,10000,44.76679502137801
3,11000,56.759716263587954
3,12000,48.06883354250541
3,13000,32.526271552734194
3,14000,525.9206501245741
3,15000,61.32907171186356
3,16000,69.21398494193384
3,17000,90.38906508551868
3,18000,65.21166896722369
3,19000,62.58636527084273
3,20000,59.89024390344844
3,21000,75.19938761495204
3,22000,60.00279682330839
3,23000,55.709876211157344
3,24000,64.28560120291523
3,25000,58.08861042422266
3,26000,43.085236165893065
3,27000,83.53443248322903
3,28000,67.08234970989865
3,29000,81.11945305483907
3,30000,73.514673837054
5,1000,231.49786764206465
5,2000,798.0222324379096
5,3000,139.3847239586105
5,4000,253.14975430281046
5,5000,44.29732659724219
5,6000,36.076458323214716
5,7000,33.60511650118455
5,8000,57.647328363972804
5,9000,36.4703158429193
5,10000,31.65441851249536
5,11000,58.6324296473979
5,12000,59.01942344100868
5,13000,44.33717706535321
5,14000,44.928668573922664
5,15000,51.77723022513599
5,16000,46.4277802515818
5,17000,64.63321312473187
5,18000,61.08473378165553
5,19000,67.22495586043438
5,20000,65.88055376804186
5,21000,65.56150173210776
5,22000,80.78042652283224
5,23000,67.91263957370167
5,24000,62.80139787602036
5,25000,66.94842089554095
5,26000,82.10411112133602
5,27000,70.3625989459724
5,28000,73.51879168895752
5,29000,70.85517545347305
5,30000,83.24134513721425
1,1000,128.19633121089498
1,2000,84.98834639507865
1,3000,38.75775000422815
1,4000,30.363481810420257
1,5000,29.743658134102965
1,6000,242.3362705310358
1,7000,306.17047673768
1,8000,1038.2887922637103
1,9000,41.1135454454643
1,10000,53.8951054654125
1,11000,782.6738515421413
1,12000,62.58246485153028
1,13000,53.98808875950623
1,14000,41.151908861363665
1,15000,57.28433179096505
1,16000,51.36605164613655
1,17000,53.79628269936643
1,18000,59.45704221666284
1,19000,50.32448966552289
1,20000,62.4379915019299
1,21000,55.12742159319377
1,22000,66.89381355665078
1,23000,52.47822626650109
1,24000,70.01777545696402
1,25000,56.673043210471235
1,26000,75.39698714977716
1,27000,56.028919504616056
1,28000,77.05205895865917
1,29000,68.61717033592387
1,30000,90.83281917653409
