run,size,mmd
3,500,11142.108442986026
3,1000,532.1320802115172
3,1500,197.30164358757204
3,2000,78.18450165644488
3,2500,105.36715713089885
3,3000,92.4412049638193
3,3500,101.30551213408698
3,4000,95.03496078537981
3,4500,126.25008936010335
3,5000,79.67886109091329
3,5500,69.85919891090266
3,6000,78.85882519895173
3,6500,104.73704271934153
3,7000,89.27431557090824
3,7500,78.19553850334917
3,8000,82.17169174444629
3,8500,83.50763593723217
3,9000,89.13684469434183
3,9500,94.42346402484237
3,10000,111.1629791250009
3,10500,83.19546284158436
3,11000,79.87606034150357
3,11500,88.05697200460628
3,12000,103.89876872569693
3,12500,82.51464323544938
3,13000,88.59478527385767
3,13500,73.41118743632892
3,14000,72.28541803780861
3,14500,74.69541092426283
3,15000,80.03763885635854
5,500,5083.343862285561
5,1000,383.3908215427963
5,1500,110.80977262145511
5,2000,147.2669508123137
5,2500,73.62759121248708
5,3000,85.25316092538887
5,3500,189.30542368610676
5,4000,75.76161922118558
5,4500,87.56503347147884
5,5000,71.30246297418591
5,5500,79.05462867889847
5,6000,108.17813722068844
5,6500,68.41693464865494
5,7000,99.02953765207731
5,7500,74.91795969435779
5,8000,88.39386077545366
5,8500,81.44431228163832
5,9000,91.33735479351694
5,9500,76.81772528020156
5,10000,82.41694901890713
5,10500,77.26801506484401
5,11000,85.41576119686877
5,11500,98.30159262544406
5,12000,134.52604521250598
5,12500,125.88768741674677
5,13000,92.06528597608344
5,13500,76.89580874072902
5,14000,86.02040670984752
5,14500,86.2792113987407
5,15000,92.39695962884744
1,500,2168.4841401073318
1,1000,139.67824013025913
1,1500,151.43052584136964
1,2000,160.14045100962755
1,2500,109.78805166706032
1,3000,206.17766825512138
1,3500,92.52531074995524
1,4000,147.37473459551606
1,4500,110.62550420704022
1,5000,82.26539876919519
1,5500,89.64209562704052
1,6000,75.88993694503756
1,6500,92.57931781044512
1,7000,83.0329538806238
1,7500,82.63767655584653
1,8000,68.12693550459944
1,8500,82.72815517245795
1,9000,101.82107933018445
1,9500,91.63342952155278
1,10000,82.09061305351781
1,10500,88.83638541919387
1,11000,80.96560496313471
1,11500,68.1513896030371
1,12000,95.66139925632704
1,12500,82.94859851662595
1,13000,96.59947744551161
1,13500,93.98198384734411
1,14000,70.23216847923561
1,14500,78.06242327839807
1,15000,83.00351577621583
2,500,1574.4431303442775
2,1000,256.8403350582809
2,1500,179.3208095249699
2,2000,125.20281631399794
2,2500,95.58082785219418
2,3000,89.37057560911603
2,3500,107.74730397073279
2,4000,67.37339024730416
2,4500,66.37895856612245
2,5000,59.24050356509835
2,5500,70.08693699634411
2,6000,111.17153847556271
2,6500,108.12241844880816
2,7000,90.22106834269556
2,7500,169.09780105865596
2,8000,69.44344767189533
2,8500,74.54798714492276
2,9000,79.72432842447876
2,9500,93.61143306288854
2,10000,84.5946616833351
2,10500,64.03491873901146
2,11000,76.8777315839679
2,11500,85.93480740823621
2,12000,80.56989976137464
2,12500,95.89844514704272
2,13000,98.3837240290099
2,13500,74.86399218196605
2,14000,84.23187241129867
2,14500,73.10906873026504
2,15000,85.49058856588219
4,500,2394.267629032813
4,1000,568.0287605344205
4,1500,116.63199289841877
4,2000,89.08066826339115
4,2500,69.35574398743134
4,3000,83.0781990030091
4,3500,108.03748340587177
4,4000,72.51700904006672
4,4500,88.38162658700162
4,5000,140.33663739682066
4,5500,240.77377928677737
4,6000,107.4641869161059
4,6500,92.06888413565915
4,7000,83.27216900813117
4,7500,80.01507488568895
4,8000,101.61838455420109
4,8500,76.40679774155925
4,9000,95.00513627891323
4,9500,160.27969415912642
4,10000,64.59791782819735
4,10500,90.316025460533
4,11000,75.48941925513456
4,11500,73.8879829836567
4,12000,81.55361811799662
4,12500,97.50496195832162
4,13000,117.9839269728664
4,13500,80.25794506788552
4,14000,187.9788838328582
4,14500,96.6745231014021
4,15000,72.24676004460271
